googleID,NIMI,kaviID
1,Klaus Härö,elonet_henkilo_148531
2,Eleanor Catton,elonet_henkilo_1544787
3,Charles Randolph,elonet_henkilo_1108986
4,Christina Hodson,elonet_henkilo_1540372
5,Terrence Malick,elonet_henkilo_106095
6,Nicolas Bedos,elonet_henkilo_1544860
7,Makoto Shinkai,elonet_henkilo_1531266
8,Olga Temonen,elonet_henkilo_1085674
8,Tuukka Temonen,elonet_henkilo_710279
9,Andrea Chalupa,elonet_henkilo_1544852
10,Feras Fayyad,elonet_henkilo_1544791
10,Alisar Hasan,elonet_henkilo_1544792
12,Ladj Ly,elonet_henkilo_1544780
12,Giordano Gederlini,elonet_henkilo_1544781
12,Alexis Manenti,elonet_henkilo_1544782
13,Joon-ho Bong,elonet_henkilo_1249528
14,Greta Gerwig,elonet_henkilo_1507615
15,Krysty Wilson-Cairns,elonet_henkilo_1544315
15,Sam Mendes,elonet_henkilo_923033
16,Frank Mosvold,elonet_henkilo_1544337
16,Johnny Smith,elonet_henkilo_1543896
16,Rob Sprackling,elonet_henkilo_1543895
17,Destin Daniel Cretton,elonet_henkilo_1534948
17,Andrew Lanham,elonet_henkilo_1544350
18,Lulu Wang,elonet_henkilo_1544344
19,Tom Hooper,elonet_henkilo_1327431
19,Lee Hall,elonet_henkilo_842482
20,Tyler Nilson,elonet_henkilo_1544429
20,Michael Schwartz,elonet_henkilo_1544430
21,Sinikka Nopola,elonet_henkilo_838298
21,Tiina Nopola,elonet_henkilo_838299
22,Richard Stanley,elonet_henkilo_1491964
22,Scarlett Amaris,elonet_henkilo_1544435
23,Hirokazu Kore-eda,elonet_henkilo_208716
24,Jon Holmberg,elonet_henkilo_1540981
25,Pamela Tola,elonet_henkilo_1196237
25,Aleksi Bardy,elonet_henkilo_164393
26,Anna-Karin Grönroos,elonet_henkilo_1114361
27,Dan Scanlon,elonet_henkilo_1506859
27,Jason Headley,elonet_henkilo_1544775
27,Keith Bunin,elonet_henkilo_1543531
28,Brad Copeland,elonet_henkilo_1397867
28,Lloyd Taylor,elonet_henkilo_1544389
29,Guy Ritchie,elonet_henkilo_874295
32,Michael Green,elonet_henkilo_1533438
33,Pat Casey,elonet_henkilo_1544678
33,Josh Miller,elonet_henkilo_1544679
34,Leigh Whannell,elonet_henkilo_1259814
35,Olivier Nakache,elonet_henkilo_1500786
35,Eric Toledano,elonet_henkilo_1500787
36,Tom Waller,elonet_henkilo_1544750
37,Miska Kajanus,elonet_henkilo_1203173
38,Philippe de Chauveron,elonet_henkilo_1517258
38,Guy Laurent,elonet_henkilo_1517259
39,Taika Waititi,elonet_henkilo_1511230
40,Chris Bremner,elonet_henkilo_1544308
40,Peter Craig,elonet_henkilo_1491321
40,Joe Carnahan,elonet_henkilo_1201919
41,Antti J. Jokinen,elonet_henkilo_265003
41,Marko Leino,elonet_henkilo_1038643
42,Lauri Randla,elonet_henkilo_1490366
43,Mario Correa,elonet_henkilo_1544906
43,Matthew Michael Carnahan,elonet_henkilo_1425674
44,Elina Talvensaari,elonet_henkilo_1455645
45,Stephen Gaghan,elonet_henkilo_954155
45,Dan Gregor,elonet_henkilo_1544303
45,Doug Mand,elonet_henkilo_1544304
46,Valérie Magis,elonet_henkilo_1544913
46,Jean Regnaud,elonet_henkilo_1544914
47,Stacey Menear,elonet_henkilo_1546523
48,Haifaa Al-Mansour,elonet_henkilo_1509412
48,Brad Niemann,elonet_henkilo_1546522
49,Wayne Roberts,elonet_henkilo_1546528
51,Jouko Aaltonen,elonet_henkilo_100278
52,Eric Johnson,elonet_henkilo_1491735
53,Joosep Matjus,elonet_henkilo_1546555
53,Atte Henriksson,elonet_henkilo_1506385
53,Jan Henriksson,elonet_henkilo_133403
54,Jessica Swale,elonet_henkilo_1546558
55,Roman Polanski,elonet_henkilo_100363
55,Robert Harris,elonet_henkilo_1487065
56,Fenar Ahmad,elonet_henkilo_1544907
56,Adam August,elonet_henkilo_1544908
57,Nicolas Pesce,elonet_henkilo_1541870
58,Xavier Dolan,elonet_henkilo_1491296
59,Céline Sciamma,elonet_henkilo_1471247
60,James Gray,elonet_henkilo_164604
60,Ethan Gross,elonet_henkilo_1542830
61,Anthony McCarten,elonet_henkilo_1517589
62,Avi Heikkinen,elonet_henkilo_1541769
63,Steven Zaillian,elonet_henkilo_135814
64,Nora Fingscheidt,elonet_henkilo_1543985
66,Tiina Lymi,elonet_henkilo_240717
66,Anna Viitala,elonet_henkilo_1537218
68,Emma Thompson,elonet_henkilo_167437
68,Bryony Kimmings,elonet_henkilo_1543851
69,Bart Freundlich,elonet_henkilo_864485
70,Jennifer Lee,elonet_henkilo_1503685
71,Flora Greeson,elonet_henkilo_1546603
73,Carl Ellsworth,elonet_henkilo_1297639
74,Juhana Honkonen,elonet_henkilo_1518999
74,Ville Venho,elonet_henkilo_1522130
76,Teresa Sutherland,elonet_henkilo_1544256
77,Noah Baumbach,elonet_henkilo_933505
78,Rian Johnson,elonet_henkilo_1290646
79,Rob Sprackling,elonet_henkilo_1543895
79,Johnny Smith,elonet_henkilo_1543896
80,Andrea Di Stefano,elonet_henkilo_867038
80,Rowan Joffe,elonet_henkilo_1415497
81,Justin Dec,elonet_henkilo_1543890
82,Fatih Akin,elonet_henkilo_1193801
83,Robert Eggers,elonet_henkilo_1541817
83,Max Eggers,elonet_henkilo_1543871
84,François Ozon,elonet_henkilo_935952
85,Hannu Aukia,elonet_henkilo_1505142
85,Jaakko Manninen,elonet_henkilo_236744
85,Miska Kajanus,elonet_henkilo_1203173
85,Juha Ilmari Laine,elonet_henkilo_1455185
86,Elizabeth O'Halloran,elonet_henkilo_1543864
87,Paul Laverty,elonet_henkilo_912465
88,Sarfraz Manzoor,elonet_henkilo_1543034
88,Gurinder Chadha,elonet_henkilo_201603
88,Paul Mayeda Berges,elonet_henkilo_1091706
89,Matt Lieberman,elonet_henkilo_1501353
89,Pamela Pettler,elonet_henkilo_1305383
89,Pamela Pettler,elonet_henkilo_1305383
90,Johan Bogaeus,elonet_henkilo_982896
91,Andy Mitton,elonet_henkilo_1546667
92,Ulla Heikkilä,elonet_henkilo_1501418
93,Manele Labidi,elonet_henkilo_1546653
93,Maud Ameline,elonet_henkilo_1546654
94,Sang-ho Yeon,elonet_henkilo_1543835
94,Joo-suk Park,elonet_henkilo_1546673
95,Anu Kuivalainen,elonet_henkilo_138524
96,Henrik Engström,elonet_henkilo_1537762
96,Mattias Grosin,elonet_henkilo_1537763
98,Heikki Huttu-Hiltunen,elonet_henkilo_143515
98,Eero Tammi,elonet_henkilo_1321376
98,Veiko Õunpuu,elonet_henkilo_1448009
99,Eeva Putro,elonet_henkilo_1414495
100,Vaclav Marhoul,elonet_henkilo_1538153
101,Guy Ritchie,elonet_henkilo_874295
101,Marn Davies,elonet_henkilo_1550263
101,Ivan Atkinson,elonet_henkilo_1550264
103,Michael Koryta,elonet_henkilo_1551249
103,Charles Leavitt,elonet_henkilo_172758
103,Taylor Sheridan,elonet_henkilo_1520815
104,Fin Edquist,elonet_henkilo_1521477
105,Thomas Vinterberg,elonet_henkilo_205652
105,Tobias Lindholm,elonet_henkilo_1488938
107,Kevin Costello,elonet_henkilo_1550127
108,Joon-ho Bong,elonet_henkilo_1249528
109,Eric Pearson,elonet_henkilo_1533272
109,Max Borenstein,elonet_henkilo_1512536
110,Joonas Berghäll,elonet_henkilo_1027196
110,Satu Majava,elonet_henkilo_1503357
111,Mika Karttunen,elonet_henkilo_159485
111,Joona Louhivuori,elonet_henkilo_928807
112,Francis Lee,elonet_henkilo_1532746
114,Patrick Burleigh,elonet_henkilo_1500428
114,Will Gluck,elonet_henkilo_1494984
115,Rita Kalnejais,elonet_henkilo_1550309
117,Hannaleena Hauru,elonet_henkilo_1341192
117,Lasse Poser,elonet_henkilo_1302097
118,John Krasinski,elonet_henkilo_1422210
119,Quaira Alegría Hudes,elonet_henkilo_1550343
120,Lee Isaac Chung,elonet_henkilo_1550120
11,Atle Antonsen,elonet_henkilo_1495779
11,Arild Fröhlich,elonet_henkilo_1416671
11,Taneli Mustonen,elonet_henkilo_933992
11,Aleksi Hyvärinen,elonet_henkilo_1248923
